epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.402,1.80443,10.5686,1.3978,0.39826,0.07726,0.03379,0.01281,2.89724,3.61462,2.06493,0.000475646,0.000475646,0.000475646
2,393.596,1.30295,2.6201,1.11568,0.69475,0.15894,0.05717,0.01799,2.76335,2.4836,1.89018,0.000763487,0.000763487,0.000763487
3,587.356,1.1954,2.33443,1.08646,0.75545,0.12744,0.06614,0.02312,2.72049,2.38734,1.9294,0.000862701,0.000862701,0.000862701
4,780.306,1.0839,2.15898,1.05124,0.40332,0.09093,0.06452,0.01883,2.80671,2.34937,1.88199,0.000580174,0.000580174,0.000580174
5,973.323,0.95776,2.0299,1.01964,0.42018,0.10817,0.0574,0.01772,2.91816,2.36723,1.80341,0.000297232,0.000297232,0.000297232
