epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1393,2.3446,6.82496,1.41087,0.39521,0.09934,0.04525,0.00983,3.42,3.20466,1.64561,0.000474961,0.000474961,0.000474961
2,114.233,1.59257,2.40957,1.00155,0.40623,0.09934,0.05066,0.01493,3.36684,2.48913,1.71801,0.000762938,0.000762938,0.000762938
3,170.107,1.3191,2.18063,0.95191,0.45076,0.09713,0.07085,0.01691,3.47204,2.31548,1.5487,0.000862287,0.000862287,0.000862287
4,237.637,1.10957,2.02341,0.92925,0.42703,0.11258,0.06973,0.02029,3.26258,2.39857,1.53776,0.000580174,0.000580174,0.000580174
5,293.942,0.91799,1.79534,0.91344,0.30196,0.19904,0.12576,0.02447,3.38335,2.30183,1.50134,0.000297232,0.000297232,0.000297232
