epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6158,2.11827,6.79746,1.35931,0.73368,0.08923,0.07497,0.01662,3.38812,3.52541,1.2572,0.000474907,0.000474907,0.000474907
2,112.364,1.23108,2.2236,0.96594,0.40054,0.10875,0.04674,0.01157,3.3177,2.30434,1.29384,0.000762895,0.000762895,0.000762895
3,166.623,0.95377,1.99798,0.92035,0.40116,0.1253,0.06296,0.01667,3.223,2.20675,1.20678,0.000862255,0.000862255,0.000862255
4,220.313,0.73964,1.87374,0.89676,0.76067,0.11111,0.06795,0.01448,3.27045,2.22728,1.31755,0.000580174,0.000580174,0.000580174
5,273.98,0.65119,1.75616,0.88133,0.43818,0.1182,0.07629,0.02038,3.14905,2.19412,1.2183,0.000297232,0.000297232,0.000297232
