epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6915,2.24801,8.5191,1.39694,0.71593,0.06623,0.03482,0.00746,3.25798,2.52287,1.80546,0.000474916,0.000474916,0.000474916
2,112.631,1.42278,2.44984,0.9723,0.40053,0.12712,0.05086,0.01413,3.1528,3.10409,1.77117,0.000762902,0.000762902,0.000762902
3,166.878,1.16649,2.22679,0.92682,0.4218,0.10155,0.05604,0.01586,3.27402,2.25779,1.67959,0.00086226,0.00086226,0.00086226
4,221.095,0.96441,1.99877,0.90992,0.7768,0.10817,0.06483,0.01636,3.34723,2.27445,1.71463,0.000580174,0.000580174,0.000580174
5,275.012,0.7728,1.80614,0.88352,0.42647,0.10375,0.07122,0.01966,3.27037,2.53285,1.71698,0.000297232,0.000297232,0.000297232
