epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6673,1.60293,27.4923,0.93173,0.02399,0.03753,0.02114,0.00648,3.31621,3.73867,2.03348,0.000474543,0.000474543,0.000474543
2,84.2142,1.52148,2.17485,0.78732,0.00792,0.3142,0.01651,0.00356,3.26048,3.13479,1.78833,0.000762603,0.000762603,0.000762603
3,124.631,1.5975,1.92256,0.70882,0.01269,0.23749,0.01602,0.00303,3.40986,3.20582,2.03426,0.000862034,0.000862034,0.000862034
4,164.969,1.56891,1.56192,0.71381,0.72556,0.03174,0.03686,0.00863,2.99395,2.79846,1.47152,0.000580174,0.000580174,0.000580174
5,205.043,1.35013,1.36885,0.60665,0.48436,0.07774,0.07884,0.01435,2.85749,2.64976,1.41979,0.000297232,0.000297232,0.000297232
