epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3438.45,0.39064,0.54715,0.9275,0.27117,0.1253,0.12543,0.01499,3.6095,5.60776,1.56563,0.000462281,0.000462281,0.000462281
43,3520.54,0.38196,0.51577,0.91621,0.52162,0.13002,0.12657,0.0155,3.54244,6.01661,1.61373,0.000438703,0.000438703,0.000438703
44,3602.48,0.35102,0.45495,0.91943,0.68806,0.14253,0.12759,0.01537,3.58412,5.54398,1.61058,0.000415124,0.000415124,0.000415124
45,3684.4,0.37395,0.44041,0.9156,0.54146,0.12766,0.12851,0.01616,3.57675,6.04874,1.59804,0.000391546,0.000391546,0.000391546
46,3766.32,0.36406,0.4387,0.91547,0.49978,0.13475,0.07255,0.01037,3.47612,6.33073,1.49112,0.000367967,0.000367967,0.000367967
47,3848.2,0.35734,0.39899,0.90812,0.65088,0.13712,0.12699,0.01711,3.57533,5.94087,1.52648,0.000344389,0.000344389,0.000344389
48,3930.15,0.37143,0.38289,0.9054,0.53857,0.12629,0.12627,0.02674,3.61117,5.49552,1.6327,0.00032081,0.00032081,0.00032081
49,4011.94,0.35383,0.3349,0.90881,0.60157,0.13475,0.13298,0.03843,3.59317,5.39299,1.63897,0.000297232,0.000297232,0.000297232
50,4093.89,0.32593,0.3148,0.90813,0.62352,0.13712,0.12946,0.02729,3.57448,6.24213,1.62391,0.000273654,0.000273654,0.000273654
51,4176.66,0.32768,0.2864,0.90572,0.40202,0.1513,0.02842,0.00871,3.59342,6.98213,1.61924,0.000250075,0.000250075,0.000250075
52,4258.42,0.30738,0.27399,0.91467,0.40021,0.16785,0.02412,0.00762,3.59716,6.52435,1.68064,0.000226497,0.000226497,0.000226497
53,4340.01,0.32701,0.26758,0.90889,0.61261,0.13239,0.13007,0.02764,3.57538,6.21838,1.68315,0.000202918,0.000202918,0.000202918
54,4421.85,0.31857,0.26014,0.90667,0.41003,0.15339,0.02857,0.01095,3.59995,6.94023,1.77241,0.00017934,0.00017934,0.00017934
55,4503.42,0.30139,0.24208,0.90373,0.0629,0.16548,0.02023,0.00619,3.59644,6.93229,1.77696,0.000155761,0.000155761,0.000155761
56,4584.92,0.30636,0.23956,0.90227,0.54494,0.13475,0.12824,0.02701,3.56689,6.61692,1.71173,0.000132183,0.000132183,0.000132183
57,4666.47,0.29358,0.22876,0.9029,0.49384,0.13475,0.12931,0.02685,3.58608,6.84708,1.76964,0.000108604,0.000108604,0.000108604
58,4747.97,0.2897,0.22651,0.89823,0.42066,0.15868,0.02966,0.01042,3.59092,7.06146,1.8095,8.50255e-05,8.50255e-05,8.50255e-05
59,4829.78,0.29571,0.23021,0.90054,0.48757,0.13198,0.12907,0.01643,3.57508,6.87177,1.80685,6.1447e-05,6.1447e-05,6.1447e-05
60,4911.38,0.29256,0.21803,0.90266,0.41938,0.15839,0.03083,0.00941,3.59105,7.14102,1.79604,3.78685e-05,3.78685e-05,3.78685e-05
